Date,Grade,Priority
1,7,High
2,6,High
3,10,High
4,2,High
5,1,High
6,2,High
7,4,High
8,11,High
9,2,High
10,6,High
11,5,High
12,2,High
13,10,High
14,11,High
15,8,High
16,3,High
17,6,High
18,6,High
19,8,High
20,2,High
21,9,High
22,9,High
23,8,High
24,4,High
25,12,High
26,7,High
27,12,High
28,6,High
29,12,High
30,6,High
31,7,High
31,12,High
1,4,High
2,3,High
3,11,High
4,12,High
5,1,High
6,4,High
7,11,High
8,2,High
9,7,High
10,4,High
11,3,High
12,1,High
13,10,High
14,7,High
15,1,High
16,8,High
17,5,High
18,2,High
19,4,Imminent
20,9,Imminent
21,11,Imminent
22,5,Imminent
23,10,Imminent
24,5,Imminent
25,6,Imminent
26,4,Imminent
27,9,Imminent
28,2,Imminent
29,3,Imminent
30,10,Imminent
31,6,Imminent
31,11,Imminent
1,7,Imminent
2,8,Imminent
3,12,Imminent
4,9,Imminent
5,12,Imminent
6,12,Imminent
7,11,Imminent
8,4,Imminent
9,3,Imminent
10,4,Imminent
11,4,Imminent
12,10,Imminent
13,6,Imminent
14,4,Imminent
15,5,Imminent
16,7,Imminent
17,8,Imminent
18,2,Imminent
19,1,Imminent
20,4,Imminent
21,4,Imminent
22,12,Imminent
23,12,Imminent
24,12,Imminent
25,5,Imminent
26,3,Imminent
27,6,Imminent
28,4,Imminent
29,12,Imminent
30,8,Imminent
31,7,Imminent
31,9,Imminent
1,12,Imminent
2,12,Imminent
3,10,Imminent
4,3,Imminent
5,7,Moderate
6,6,Moderate
7,8,Moderate
8,10,Moderate
9,3,Moderate
10,9,Moderate
11,11,Moderate
12,10,Moderate
13,10,Moderate
14,8,Moderate
15,9,Moderate
16,3,Moderate
17,11,Moderate
18,12,Moderate
19,12,Moderate
20,12,Moderate
21,8,Moderate
22,7,Moderate
23,12,Moderate
24,10,Moderate
25,11,Moderate
26,6,Moderate
27,2,Moderate
28,10,Moderate
29,3,Moderate
30,11,Moderate
31,3,Moderate
31,7,Moderate
1,7,Minimal
2,7,Minimal
3,2,Minimal
4,3,Minimal
5,8,Minimal
6,11,Minimal
7,9,Minimal
8,1,Minimal
9,6,Minimal
10,5,Minimal
11,9,Minimal
12,1,Minimal
13,10,Minimal
14,8,Minimal
15,10,Minimal
16,1,Minimal
17,11,Minimal
18,4,Minimal
19,1,Minimal
20,2,Minimal
21,9,Minimal
22,7,Minimal
23,12,Minimal
24,6,Minimal
25,4,Minimal
26,12,Minimal
27,12,Minimal
28,12,Minimal
29,7,Minimal
30,5,Minimal
31,5,Minimal
31,12,Minimal
